Date,Daily Power Production,Peak Grid Power Production,Solar Radiance
01/01/2023,451310,71.89,20.1
01/02/2023,292560,69.9,12.62
01/03/2023,331560,58.59,14.53
01/04/2023,59080,14.85,2.72
01/05/2023,203050,48.44,8.85
01/06/2023,74810,13.04,3.05
01/07/2023,399590,74.15,17.64
01/08/2023,84110,19.79,3.39
01/09/2023,280650,71.81,11.58
01/10/2023,153280,74.37,17.27
01/11/2023,506540,80.89,23.07
01/12/2023,525540,79.58,23.48
1/13/2023,529240,80.19,23.72
1/14/2023,243050,63.91,9.74
1/15/2023,369280,74.24,15.8
1/16/2023,338310,76.57,13.92
1/17/2023,414860,78.57,17.75
1/18/2023,170220,43.25,6.84
1/19/2023,368090,70.88,15.62
1/20/2023,391080,76.35,16.85
1/21/2023,494000,75.3,21.39
1/22/2023,445270,70.67,19.6
1/23/2023,384880,66.66,16.49
1/24/2023,459220,72.37,20.31
1/25/2023,480250,73.25,21.07
1/26/2023,491300,75.73,21.56
1/27/2023,475760,73.62,21.51
1/28/2023,486200,74.7,21.85
1/29/2023,491880,75.27,21.35
1/30/2023,485720,78.36,22.23
1/31/2023,463360,76.6,21.36
02/01/2023,436370,70.62,19.36
02/02/2023,379500,59.43,17.01
02/03/2023,354500,61.25,16.17
02/04/2023,378240,63.49,16.77
02/05/2023,472400,73.49,21.23
02/06/2023,501460,75.85,22.55
02/07/2023,487280,73.82,21.92
02/08/2023,504420,75.71,22.76
02/09/2023,446690,71.51,19.92
02/10/2023,448730,69.02,20.11
02/11/2023,421020,71.5,19.11
02/12/2023,464820,72.23,20.88
2/13/2023,500300,74.63,22.48
2/14/2023,443920,77.25,19.73
2/15/2023,465510,73.06,20.61
2/16/2023,464080,71.71,20.42
2/17/2023,466080,70.84,20.5
2/18/2023,479650,73.29,21.24
2/19/2023,493490,74.85,21.6
2/20/2023,511730,82.8,22.44
2/21/2023,512600,84.95,22.28
2/22/2023,502980,74.76,22.06
2/23/2023,500350,74.15,22.23
2/24/2023,507890,74.2,22.55
2/25/2023,501400,73.67,22.24
2/26/2023,470110,69.82,20.49
2/27/2023,561700,79.77,24.79
2/28/2023,556920,78.82,24.82
03/01/2023,545700,78.9,23.99
03/02/2023,553850,78.16,24.34
03/03/2023,544980,76.89,24.32
03/04/2023,567160,81.29,24.91
03/05/2023,564190,78.69,24.91
03/06/2023,432810,89.46,18.69
03/07/2023,380380,63.53,16.01
03/08/2023,480780,72.51,20.81
03/09/2023,500790,73.63,21.87
03/10/2023,441630,67.36,19.77
03/11/2023,500330,74.62,22.72
03/12/2023,485180,77.02,20.7
3/13/2023,455120,78.21,19.62
3/14/2023,443470,64.96,19.77
3/15/2023,368460,61.64,16.1
3/16/2023,418310,62.63,18.91
3/17/2023,396420,66.77,17.76
3/18/2023,416260,70.41,18.68
3/19/2023,411920,65.13,18.26
3/20/2023,451450,67.84,20.88
3/21/2023,372280,68.12,17.63
3/22/2023,548110,79.43,23.57
3/23/2023,485160,77.67,23.58
3/24/2023,516220,80.21,22.01
3/25/2023,493010,83.19,20.83
3/26/2023,557460,77.38,24.14
3/27/2023,562750,78.54,24.52
3/28/2023,563270,77.59,24.93
3/29/2023,550900,76.36,24.75
3/30/2023,610670,83.72,27.06
3/31/2023,579470,78.3,25.91
04/01/2023,591140,81.68,26.26
04/02/2023,578260,78.83,25.97
04/03/2023,580460,79.36,26.22
04/04/2023,519740,75.49,23.56
04/05/2023,468370,75.75,20.56
04/06/2023,468320,79.48,20.56
04/07/2023,609330,83,25.92
04/08/2023,574660,77.82,25.26
04/09/2023,563680,75.43,24.94
04/10/2023,556520,75.78,24.84
04/11/2023,543910,74.48,24.03
04/12/2023,507090,70.59,22.36
4/13/2023,481570,71.58,21.55
4/14/2023,483120,69.63,21.27
4/15/2023,506840,80.26,22.43
4/16/2023,507040,76.17,20.48
4/17/2023,561890,76.19,24.15
4/18/2023,524940,70.95,23.3
4/19/2023,491770,72.15,21.37
4/20/2023,227460,80.09,9.25
4/21/2023,603390,80.38,25.97
4/22/2023,568000,77.03,25.02
4/23/2023,599970,81.33,25.23
4/24/2023,594190,77.69,26.27
4/25/2023,559260,75.05,25.22
4/26/2023,541890,73.63,24.72
